Geography,Year,Sex,Age Standardize Rate,Prevalent Cases(Across all ages),Population,Standard Error,Standard Score,Alberta Rate
Z1.1.A.01,2016,BOTH,22.0,1790.3880331000003,6174.5338632,0.39912000000000003,3.8400000000000003,20.467000000000002
Z1.1.A.02,2016,BOTH,19.288000000000004,1838.1155535,8328.5483968,0.34726000000000007,-3.39,20.467000000000002
Z1.1.A.03,2016,BOTH,23.256000000000004,1568.0958853,6570.5818616,0.42976000000000003,6.49,20.467000000000002
Z1.1.B.04,2016,BOTH,21.439000000000004,3183.9799781,16689.845258999998,0.28423,3.4200000000000004,20.467000000000002
Z1.2.A.01,2016,BOTH,20.296000000000003,4050.2575778000005,24222.900652,0.22652,-0.7500000000000001,20.467000000000002
Z1.2.B.02,2016,BOTH,19.646,2779.0837443,18469.734441,0.26291,-3.12,20.467000000000002
Z1.2.C.03,2016,BOTH,22.723000000000003,2287.3468267000003,10821.648082,0.34309000000000006,6.58,20.467000000000002
Z1.2.C.04,2016,BOTH,21.492,1092.4820946,6324.719712500001,0.46731,2.19,20.467000000000002
Z1.3.A.01,2016,BOTH,25.195,5427.3928431,27235.208450000002,0.22498,21.01,20.467000000000002
Z1.3.B.02,2016,BOTH,23.881,976.4523941300001,3505.6329176000004,0.5704899999999999,5.98,20.467000000000002
Z1.3.B.03,2016,BOTH,20.877000000000002,1993.9089917000001,11020.611309,0.32965000000000005,1.2400000000000002,20.467000000000002
Z1.4.A.01,2016,BOTH,20.94,14833.52413,67351.080242,0.12510000000000002,3.7800000000000002,20.467000000000002
Z1.5.A.01,2016,BOTH,19.953000000000003,4866.955761900001,33876.077679,0.197,-2.61,20.467000000000002
Z1.5.B.02,2016,BOTH,22.029,5680.0461122,26798.116454000003,0.20274,7.71,20.467000000000002
Z1.5.C.03,2016,BOTH,20.139000000000003,8574.0169213,33032.667833,0.17566,-1.87,20.467000000000002
Z2.1.A.01,2016,BOTH,18.738,18424.406108000003,115006.49729000001,0.09759,-17.72,20.467000000000002
Z2.1.B.02,2016,BOTH,20.688000000000002,16094.086816,107966.71810000001,0.11128,1.9800000000000002,20.467000000000002
Z2.1.C.03,2016,BOTH,18.534,13161.663061000001,76789.828631,0.11585000000000001,-16.68,20.467000000000002
Z2.1.D.04,2016,BOTH,17.421000000000003,9814.245598200001,62234.022812,0.12799,-23.8,20.467000000000002
Z2.1.E.05,2016,BOTH,19.216,4237.6275929,20722.860743,0.22018000000000001,-5.680000000000001,20.467000000000002
Z2.1.F.06,2016,BOTH,16.864,6668.9345462,43089.007348,0.15035,-23.96,20.467000000000002
Z2.2.A.01,2016,BOTH,24.674000000000003,15111.662502000001,99730.76263000001,0.13423000000000002,31.34,20.467000000000002
Z2.2.B.02,2016,BOTH,23.158,18301.961518,96449.500676,0.11299000000000001,23.82,20.467000000000002
Z2.3.A.01,2016,BOTH,22.843,14173.590146,72847.211792,0.12566,18.910000000000004,20.467000000000002
Z2.3.B.02,2016,BOTH,20.033,14703.493120000001,116099.46059,0.11427000000000001,-3.8000000000000003,20.467000000000002
Z2.4.A.01,2016,BOTH,17.413000000000004,13050.076022,88786.645686,0.10788,-28.310000000000002,20.467000000000002
Z2.4.B.02,2016,BOTH,17.147000000000002,8097.959930200001,60805.000959,0.13744,-24.16,20.467000000000002
Z2.4.C.03,2016,BOTH,17.487000000000002,9672.5288008,63460.505114,0.12809,-23.270000000000003,20.467000000000002
Z2.4.D.04,2016,BOTH,16.442000000000004,7683.267869700001,40501.910950000005,0.14482,-27.8,20.467000000000002
Z2.4.E.05,2016,BOTH,19.288000000000004,22385.725707,113389.20024,0.09219,-12.790000000000001,20.467000000000002
Z2.4.F.06,2016,BOTH,19.673000000000002,16875.589189,109047.60491000001,0.10583000000000001,-7.5,20.467000000000002
Z2.5.A.01,2016,BOTH,18.175,6675.3596932,42009.309489,0.15955,-14.370000000000001,20.467000000000002
Z2.5.B.02,2016,BOTH,19.028,1847.1248594,8604.6731672,0.32415000000000005,-4.44,20.467000000000002
Z2.5.B.03,2016,BOTH,21.388,5478.232726900001,22755.669564000003,0.21578,4.2700000000000005,20.467000000000002
Z2.5.C.04,2016,BOTH,21.523,1901.7041095,6422.5078093,0.39960000000000007,2.64,20.467000000000002
Z2.5.C.05,2016,BOTH,23.810000000000002,1808.9873871,6745.363778800001,0.42942,7.79,20.467000000000002
Z2.6.A.01,2016,BOTH,20.547,8619.5320526,63288.995101,0.15236,0.53,20.467000000000002
Z2.6.B.02,2016,BOTH,21.332,3769.0838253,22016.329155000003,0.23369,3.7,20.467000000000002
Z2.6.C.03,2016,BOTH,23.937,7282.496516900001,35019.76631300001,0.18625,18.630000000000003,20.467000000000002
Z2.6.C.04,2016,BOTH,21.5,1658.4878849000002,8161.0768678,0.36118000000000006,2.8600000000000003,20.467000000000002
Z2.6.C.05,2016,BOTH,20.612000000000002,3458.2002202000003,15705.320363,0.25169,0.58,20.467000000000002
Z2.7.A.01,2016,BOTH,16.552,6805.5032459,43769.69711300001,0.14794000000000002,-26.46,20.467000000000002
Z2.7.B.02,2016,BOTH,15.402000000000001,3230.9508619000003,25167.718836,0.19972,-25.36,20.467000000000002
Z2.7.B.03,2016,BOTH,14.974,947.63218858,12702.972505000002,0.37555000000000005,-14.63,20.467000000000002
