Geography,Year,Sex,Age Standardize Rate,Prevalent Cases(Across all ages),Population,Standard Error,Standard Score,Alberta Rate
Z1.1,2016,BOTH,1.8232,387.29824011000005,18162.996534,0.08801,-4.04,2.1784
Z1.2,2016,BOTH,1.7955,433.63328261000004,23987.621639,0.0809,-4.73,2.1784
Z1.3,2016,BOTH,1.8908,281.64542957000003,18263.021213,0.1057,-2.72,2.1784
Z1.4,2016,BOTH,2.5502,1037.2511267,33336.450198,0.0745,4.99,2.1784
Z1.5,2016,BOTH,2.2407000000000004,1200.8205215,43126.895464,0.06135,1.01,2.1784
Z2.1,2016,BOTH,2.3259000000000003,3970.6146001,193150.20504,0.03416,4.319999999999999,2.1784
Z2.2,2016,BOTH,1.2322000000000002,584.08618712,75833.337096,0.05135,-18.430000000000003,2.1784
Z2.3,2016,BOTH,2.146,932.11856186,77566.49097000001,0.06594,-0.49,2.1784
Z2.4,2016,BOTH,2.4049000000000005,4958.497477700001,223182.11537,0.03184,7.11,2.1784
Z2.5,2016,BOTH,2.0944,849.0167087,44220.579136,0.06631,-1.2700000000000002,2.1784
Z2.6,2016,BOTH,1.8907,800.78245357,62061.003642,0.06265,-4.59,2.1784
Z2.7,2016,BOTH,1.6820000000000002,396.35724715000003,37556.24356,0.08123,-6.11,2.1784
Z3.1,2016,BOTH,1.8267,284.84045304,18336.454683,0.10129,-3.47,2.1784
Z3.2,2016,BOTH,1.9741000000000002,648.3775706,35935.099459,0.07198,-2.8400000000000003,2.1784
Z3.3,2016,BOTH,2.0927,607.1611324,23347.949966,0.07974,-1.07,2.1784
Z3.4,2016,BOTH,2.4539000000000004,1010.3680764000001,37183.353016,0.07214,3.8200000000000003,2.1784
Z3.5,2016,BOTH,2.2573000000000003,915.6792105000001,33059.848292,0.06961,1.1300000000000001,2.1784
Z3.6,2016,BOTH,2.0046,646.80713102,27662.174984,0.07456,-2.33,2.1784
Z3.7,2016,BOTH,2.2501,933.8996388700001,46109.67772000001,0.06892,1.04,2.1784
Z4.1,2016,BOTH,2.494,2666.7371180000005,104834.26906,0.04561,6.92,2.1784
Z4.2,2016,BOTH,2.4783000000000004,3172.1817677000004,137426.69854,0.04103,7.3100000000000005,2.1784
Z4.3,2016,BOTH,2.2668000000000004,2104.5874822,94901.364969,0.04613,1.9200000000000002,2.1784
Z4.4,2016,BOTH,2.2389,1571.3236331000003,78015.299012,0.05101,1.1900000000000002,2.1784
Z4.5,2016,BOTH,1.9340000000000002,371.31048657,25715.873525000003,0.09408,-2.6,2.1784
Z4.6,2016,BOTH,2.1047000000000002,763.2468681,47840.439469000004,0.06884,-1.07,2.1784
Z4.7,2016,BOTH,2.0274,496.45662753000005,30887.762848000002,0.08494,-1.7800000000000002,2.1784
Z4.8,2016,BOTH,1.8266,575.18861016,41165.0965,0.0715,-4.92,2.1784
Z4.9,2016,BOTH,2.2625,747.7805897300001,33876.466463000004,0.07526,1.12,2.1784
Z5.1,2016,BOTH,1.7620000000000002,745.29525204,46631.31216,0.06105,-6.82,2.1784
Z5.2,2016,BOTH,1.7200000000000002,600.2098553100001,38507.179665999996,0.06566,-6.98,2.1784
Z5.3,2016,BOTH,1.7746000000000002,229.84875592,19257.845641,0.11303,-3.57,2.1784
Z5.4,2016,BOTH,2.0066,594.2862426700001,36849.71784800001,0.07684,-2.24,2.1784
Z5.5,2016,BOTH,2.3770000000000002,16.991307048000003,1702.9431545,0.6299300000000001,0.32000000000000006,2.1784
Z5.6,2016,BOTH,1.5183,86.012085279,28266.859021000004,0.21178000000000002,-3.12,2.1784
Z5.7,2016,BOTH,2.7457000000000003,443.21734240000006,24727.463759000002,0.12179000000000001,4.66,2.1784
